CompoundID,Primary_Target_Assay,Primary_Target_Assay_BioActivity,TPSA,ClogP,LogD,Num_H_Donors,Num_H_Acceptors,Num_AromaticRings,F_SP3,Drug_Class,Cell Permeability,Cmpd Solubility (uM),fafg (Rat),Bioavailability (Rat),"Clint,mic (L/hr/kg) (Rat)",Molecular_Weight (amu)
CM-1276590,JAK1 EC50(uM),0.0477,68.1,1.638,1.6376,1,6,3.0,0.61111,Class B,10.7,394.0,,24.6,9.11,325.41
CM-1276598,JAK1 EC50(uM),0.201,68.1,1.193,1.1931,1,6,3.0,0.58824,Class B,10.6,600.0,,,3.61,311.38
CM-1351449,JAK1 EC50(uM),0.00927,66.28,1.336,1.3361,1,6,3.0,0.5,Class B,11.7,178.0,,,3.86,379.38
CM-1250924,JAK1 EC50(uM),0.0106,69.53,0.595,0.564,1,7,3.0,0.5,Class B,44.2,200.0,,,7.92,374.39
CM-1116691,JAK1 EC50(uM),0.271,58.87,1.314,1.3136,1,5,3.0,0.46154,Class B,59.3,200.0,,,5.54,241.29
CM-1250927,JAK1 EC50(uM),0.016,69.53,0.865,0.8343,1,7,3.0,0.52632,Class B,12.9,360.0,,58.7,9.43,388.41
CM-1110146,JAK1 EC50(uM),0.0535,57.36,2.79,2.7897,2,4,3.0,0.42857,Class B,32.5,6.0,,,10.6,240.3
CM-1370428,JAK1 EC50(uM),0.0282,73.0,0.836,-0.8454,1,6,3.0,0.5,Class B,41.3,1000.0,,,5.11,322.41
CM-1370187,JAK1 EC50(uM),0.248,84.48,0.868,-0.2678,1,8,4.0,0.52174,Class B,17.7,181.0,,,11.3,420.51
CM-1737113,JAK1 EC50(uM),3.0,73.91,1.467,1.4044,2,6,2.0,0.4,Class B,29.4,701.0,,,15.6,285.34
CM-1375560,JAK1 EC50(uM),0.0143,73.0,1.028,0.9927,1,6,3.0,0.52632,Class B,4.0,200.0,,32.0,,334.42
CM-1700834,JAK1 EC50(uM),0.144,104.03,1.056,0.9981,5,6,2.0,0.55556,Class B,23.7,54.0,,,18.0,326.39
CM-1700961,JAK1 EC50(uM),0.0647,90.97,0.835,0.6394,2,7,2.0,0.57143,Class B,32.9,86.7,,,3.32,323.41
CM-1240231,JAK1 EC50(uM),0.0189,83.18,2.479,2.4792,1,6,3.0,0.41176,Class B,10.7,148.0,,3.22,33.1,306.37
CM-1413612,JAK1 EC50(uM),0.361,96.67,2.03,2.0299,1,8,3.0,0.38095,Class B,30.5,193.0,,,2.5,425.5
CM-1357119,JAK1 EC50(uM),0.0372,49.22,1.978,0.4676,1,5,3.0,0.52941,Class B,8.63,303.0,0.824,28.0,11.3,351.37
CM-1368803,JAK1 EC50(uM),0.0616,73.0,1.646,0.9101,1,6,3.0,0.52632,Class B,37.8,61.2,,,15.6,336.43
CM-1367782,JAK1 EC50(uM),0.0277,58.45,1.7,1.1365,1,6,3.0,0.6,Class B,10.7,148.0,,,37.2,353.46
CM-1297038,JAK1 EC50(uM),0.0158,92.66,1.536,1.5361,2,7,3.0,0.57895,Class B,2.68,190.0,,8.64,2.5,387.5
CM-1375562,JAK1 EC50(uM),0.0424,73.0,1.028,0.9927,1,6,3.0,0.52632,Class B,39.6,189.0,1.8,73.7,,334.42
CM-1346025,JAK1 EC50(uM),0.00783,82.24,2.581,1.9561,1,7,4.0,0.4,Class B,13.2,28.0,,,13.7,426.51
CM-1303982,JAK1 EC50(uM),0.0475,78.09,2.051,1.8228,2,6,2.0,0.63158,Class B,0.511,258.0,,,2.75,374.5
CM-1295638,JAK1 EC50(uM),0.0833,71.34,1.545,0.158,1,7,3.0,0.66667,Class B,35.3,493.0,,,5.52,380.49
CM-1306609,JAK1 EC50(uM),0.0178,78.31,0.846,0.8461,2,7,3.0,0.47059,Class B,1.03,200.0,0.42,14.7,4.81,380.37
